form,enabled,sink,orginial,def
HPD_AS,1,tbl,,tmp_stg.sg_itsm_assoc
HPD_AS,1,filter,,dft.HPD_AS
HPD_AS,1,updated_by,Submitter,
HPD_AS,1,updated_time,Submit Date,
HPD_AS,1,short_description,Short Description,
HPD_AS,1,description,Request Description01,
HPD_AS,1,form01,Form Name01,
HPD_AS,1,form02,Form Name02,
HPD_AS,1,req_id01,Request ID01,
HPD_AS,1,req_id02,Request ID02,
HPD_AS,1,status_asset,Status-Asset,
HPD_AS,1,status_inc,Status-INC,
HPD_AS,1,status_crq,Status-CRQ,
HPD_AS,1,status_pbi,Status-PBI,
HPD_AS,1,status_req,Status-REQ,
HPD_AS,1,status_tsk,Status-TSK,
HPD_AS,1,status_rlm,Status-RLM,
HPD_AS,1,status_aot,Status-AOT,
HPD_AS,1,status_kdb,Status-KDB,
HPD_AS,1,status_wor,Status-WOR,
HPD_AS,1,status_pke,Status-PKE,
HPD_AS,1,status_prq,Status-PRQ,
HPD_AS,1,status_acm,Status-ACM,
HPD_AS,1,status_con,Status-CON,
HPD_AS,1,status_sla,Status-SLA,
HPD_AS,1,status_ola,Status-OLA,
